     *      | -0.1000E+02 |  0.0000E+00 |  0.1000E+02 | 
-----------   -----------   -----------   -----------
-0.5177E+04 |  0.2374E+00 |  0.0000E+00 |  0.2374E+00 | 
-----------   -----------   -----------   -----------
-0.5168E+04 |  0.2821E+00 |  0.0000E+00 |  0.2821E+00 | 
-----------   -----------   -----------   -----------
-0.5159E+04 |  0.3582E+00 |  0.0000E+00 |  0.3582E+00 | 
-----------   -----------   -----------   -----------
-0.5150E+04 |  0.5077E+00 |  0.0000E+00 |  0.5077E+00 | 
-----------   -----------   -----------   -----------
-0.5141E+04 |  0.9101E+00 |  0.0000E+00 |  0.9101E+00 | 
-----------   -----------   -----------   -----------
-0.5132E+04 |  0.4976E+01 |  0.0000E+00 |  0.4976E+01 | 
-----------   -----------   -----------   -----------
-0.5123E+04 |  0.1425E+01 |  0.0000E+00 |  0.1425E+01 | 
-----------   -----------   -----------   -----------
-0.5114E+04 |  0.6300E+00 |  0.0000E+00 |  0.6300E+00 | 
-----------   -----------   -----------   -----------
-0.5105E+04 |  0.4109E+00 |  0.0000E+00 |  0.4109E+00 | 
-----------   -----------   -----------   -----------
-0.5096E+04 |  0.3105E+00 |  0.0000E+00 |  0.3105E+00 | 
-----------   -----------   -----------   -----------
-0.5087E+04 |  0.2546E+00 |  0.0000E+00 |  0.2546E+00 | 
-----------   -----------   -----------   -----------
-0.5078E+04 |  0.2204E+00 |  0.0000E+00 |  0.2204E+00 | 
-----------   -----------   -----------   -----------
-0.5069E+04 |  0.1985E+00 |  0.0000E+00 |  0.1985E+00 | 
-----------   -----------   -----------   -----------
-0.5060E+04 |  0.1848E+00 |  0.0000E+00 |  0.1848E+00 | 
-----------   -----------   -----------   -----------
-0.5051E+04 |  0.1769E+00 |  0.0000E+00 |  0.1769E+00 | 
-----------   -----------   -----------   -----------
-0.5042E+04 |  0.1738E+00 |  0.0000E+00 |  0.1738E+00 | 
-----------   -----------   -----------   -----------
-0.5033E+04 |  0.1750E+00 |  0.0000E+00 |  0.1750E+00 | 
-----------   -----------   -----------   -----------
-0.5024E+04 |  0.1806E+00 |  0.0000E+00 |  0.1806E+00 | 
-----------   -----------   -----------   -----------
-0.5015E+04 |  0.1916E+00 |  0.0000E+00 |  0.1916E+00 | 
-----------   -----------   -----------   -----------
-0.5006E+04 |  0.2095E+00 |  0.0000E+00 |  0.2095E+00 | 
-----------   -----------   -----------   -----------
-0.4997E+04 |  0.2374E+00 |  0.0000E+00 |  0.2374E+00 | 
-----------   -----------   -----------   -----------
-0.4988E+04 |  0.2821E+00 |  0.0000E+00 |  0.2821E+00 | 
-----------   -----------   -----------   -----------
-0.4979E+04 |  0.3582E+00 |  0.0000E+00 |  0.3582E+00 | 
-----------   -----------   -----------   -----------
-0.4970E+04 |  0.5077E+00 |  0.0000E+00 |  0.5077E+00 | 
-----------   -----------   -----------   -----------
-0.4961E+04 |  0.9101E+00 |  0.0000E+00 |  0.9101E+00 | 
-----------   -----------   -----------   -----------
-0.4952E+04 |  0.4976E+01 |  0.0000E+00 |  0.4976E+01 | 
-----------   -----------   -----------   -----------
-0.4943E+04 |  0.1425E+01 |  0.0000E+00 |  0.1425E+01 | 
-----------   -----------   -----------   -----------
-0.4934E+04 |  0.6300E+00 |  0.0000E+00 |  0.6300E+00 | 
-----------   -----------   -----------   -----------
-0.4925E+04 |  0.4109E+00 |  0.0000E+00 |  0.4109E+00 | 
-----------   -----------   -----------   -----------
-0.4916E+04 |  0.3105E+00 |  0.0000E+00 |  0.3105E+00 | 
-----------   -----------   -----------   -----------
-0.4907E+04 |  0.2546E+00 |  0.0000E+00 |  0.2546E+00 | 
-----------   -----------   -----------   -----------
-0.4898E+04 |  0.2204E+00 |  0.0000E+00 |  0.2204E+00 | 
-----------   -----------   -----------   -----------
-0.4889E+04 |  0.1985E+00 |  0.0000E+00 |  0.1985E+00 | 
-----------   -----------   -----------   -----------
-0.4880E+04 |  0.1848E+00 |  0.0000E+00 |  0.1848E+00 | 
-----------   -----------   -----------   -----------
-0.4871E+04 |  0.1769E+00 |  0.0000E+00 |  0.1769E+00 | 
-----------   -----------   -----------   -----------
-0.4862E+04 |  0.1738E+00 |  0.0000E+00 |  0.1738E+00 | 
-----------   -----------   -----------   -----------
-0.4853E+04 |  0.1750E+00 |  0.0000E+00 |  0.1750E+00 | 
-----------   -----------   -----------   -----------
-0.4844E+04 |  0.1806E+00 |  0.0000E+00 |  0.1806E+00 | 
-----------   -----------   -----------   -----------
-0.4835E+04 |  0.1916E+00 |  0.0000E+00 |  0.1916E+00 | 
-----------   -----------   -----------   -----------
-0.4826E+04 |  0.2095E+00 |  0.0000E+00 |  0.2095E+00 | 
-----------   -----------   -----------   -----------
-0.4817E+04 |  0.2374E+00 |  0.0000E+00 |  0.2374E+00 | 
-----------   -----------   -----------   -----------
-0.4808E+04 |  0.2820E+00 |  0.0000E+00 |  0.2820E+00 | 
-----------   -----------   -----------   -----------
-0.4799E+04 |  0.3582E+00 |  0.0000E+00 |  0.3582E+00 | 
-----------   -----------   -----------   -----------
-0.4790E+04 |  0.5077E+00 |  0.0000E+00 |  0.5077E+00 | 
-----------   -----------   -----------   -----------
-0.4781E+04 |  0.9100E+00 |  0.0000E+00 |  0.9100E+00 | 
-----------   -----------   -----------   -----------
-0.4772E+04 |  0.4976E+01 |  0.0000E+00 |  0.4976E+01 | 
-----------   -----------   -----------   -----------
-0.4763E+04 |  0.1425E+01 |  0.0000E+00 |  0.1425E+01 | 
-----------   -----------   -----------   -----------
-0.4754E+04 |  0.6300E+00 |  0.0000E+00 |  0.6300E+00 | 
-----------   -----------   -----------   -----------
-0.4745E+04 |  0.4109E+00 |  0.0000E+00 |  0.4109E+00 | 
-----------   -----------   -----------   -----------
-0.4736E+04 |  0.3105E+00 |  0.0000E+00 |  0.3105E+00 | 
-----------   -----------   -----------   -----------
-0.4727E+04 |  0.2546E+00 |  0.0000E+00 |  0.2546E+00 | 
-----------   -----------   -----------   -----------
-0.4718E+04 |  0.2204E+00 |  0.0000E+00 |  0.2204E+00 | 
-----------   -----------   -----------   -----------
-0.4709E+04 |  0.1985E+00 |  0.0000E+00 |  0.1985E+00 | 
-----------   -----------   -----------   -----------
-0.4700E+04 |  0.1848E+00 |  0.0000E+00 |  0.1848E+00 | 
-----------   -----------   -----------   -----------
-0.4691E+04 |  0.1769E+00 |  0.0000E+00 |  0.1769E+00 | 
-----------   -----------   -----------   -----------
-0.4682E+04 |  0.1738E+00 |  0.0000E+00 |  0.1738E+00 | 
-----------   -----------   -----------   -----------
-0.4673E+04 |  0.1750E+00 |  0.0000E+00 |  0.1750E+00 | 
-----------   -----------   -----------   -----------
-0.4664E+04 |  0.1806E+00 |  0.0000E+00 |  0.1806E+00 | 
-----------   -----------   -----------   -----------
-0.4655E+04 |  0.1916E+00 |  0.0000E+00 |  0.1916E+00 | 
-----------   -----------   -----------   -----------
-0.4646E+04 |  0.2095E+00 |  0.0000E+00 |  0.2095E+00 | 
-----------   -----------   -----------   -----------
-0.4637E+04 |  0.2374E+00 |  0.0000E+00 |  0.2374E+00 | 
-----------   -----------   -----------   -----------
-0.4628E+04 |  0.2820E+00 |  0.0000E+00 |  0.2820E+00 | 
-----------   -----------   -----------   -----------
-0.4619E+04 |  0.3582E+00 |  0.0000E+00 |  0.3582E+00 | 
-----------   -----------   -----------   -----------
-0.4610E+04 |  0.5077E+00 |  0.0000E+00 |  0.5077E+00 | 
-----------   -----------   -----------   -----------
-0.4601E+04 |  0.9100E+00 |  0.0000E+00 |  0.9100E+00 | 
-----------   -----------   -----------   -----------
-0.4592E+04 |  0.4976E+01 |  0.0000E+00 |  0.4976E+01 | 
-----------   -----------   -----------   -----------
-0.4583E+04 |  0.1425E+01 |  0.0000E+00 |  0.1425E+01 | 
-----------   -----------   -----------   -----------
-0.4574E+04 |  0.6300E+00 |  0.0000E+00 |  0.6300E+00 | 
-----------   -----------   -----------   -----------
-0.4565E+04 |  0.4109E+00 |  0.0000E+00 |  0.4109E+00 | 
-----------   -----------   -----------   -----------
-0.4556E+04 |  0.3105E+00 |  0.0000E+00 |  0.3105E+00 | 
-----------   -----------   -----------   -----------
-0.4547E+04 |  0.2546E+00 |  0.0000E+00 |  0.2546E+00 | 
-----------   -----------   -----------   -----------
-0.4538E+04 |  0.2204E+00 |  0.0000E+00 |  0.2204E+00 | 
-----------   -----------   -----------   -----------
-0.4529E+04 |  0.1985E+00 |  0.0000E+00 |  0.1985E+00 | 
-----------   -----------   -----------   -----------
-0.4520E+04 |  0.1848E+00 |  0.0000E+00 |  0.1848E+00 | 
-----------   -----------   -----------   -----------
-0.4511E+04 |  0.1769E+00 |  0.0000E+00 |  0.1769E+00 | 
-----------   -----------   -----------   -----------
-0.4502E+04 |  0.1738E+00 |  0.0000E+00 |  0.1738E+00 | 
-----------   -----------   -----------   -----------
-0.4493E+04 |  0.1750E+00 |  0.0000E+00 |  0.1750E+00 | 
-----------   -----------   -----------   -----------
-0.4484E+04 |  0.1806E+00 |  0.0000E+00 |  0.1806E+00 | 
-----------   -----------   -----------   -----------
-0.4475E+04 |  0.1916E+00 |  0.0000E+00 |  0.1916E+00 | 
-----------   -----------   -----------   -----------
-0.4466E+04 |  0.2095E+00 |  0.0000E+00 |  0.2095E+00 | 
-----------   -----------   -----------   -----------
-0.4457E+04 |  0.2374E+00 |  0.0000E+00 |  0.2374E+00 | 
-----------   -----------   -----------   -----------
-0.4448E+04 |  0.2821E+00 |  0.0000E+00 |  0.2821E+00 | 
-----------   -----------   -----------   -----------
-0.4439E+04 |  0.3582E+00 |  0.0000E+00 |  0.3582E+00 | 
-----------   -----------   -----------   -----------
-0.4430E+04 |  0.5077E+00 |  0.0000E+00 |  0.5077E+00 | 
-----------   -----------   -----------   -----------
-0.4421E+04 |  0.9100E+00 |  0.0000E+00 |  0.9100E+00 | 
-----------   -----------   -----------   -----------
-0.4412E+04 |  0.4975E+01 |  0.0000E+00 |  0.4975E+01 | 
-----------   -----------   -----------   -----------
-0.4403E+04 |  0.1425E+01 |  0.0000E+00 |  0.1425E+01 | 
-----------   -----------   -----------   -----------
-0.4394E+04 |  0.6300E+00 |  0.0000E+00 |  0.6300E+00 | 
-----------   -----------   -----------   -----------
-0.4385E+04 |  0.4109E+00 |  0.0000E+00 |  0.4109E+00 | 
-----------   -----------   -----------   -----------
-0.4376E+04 |  0.3105E+00 |  0.0000E+00 |  0.3105E+00 | 
-----------   -----------   -----------   -----------
-0.4367E+04 |  0.2546E+00 |  0.0000E+00 |  0.2546E+00 | 
-----------   -----------   -----------   -----------
-0.4358E+04 |  0.2204E+00 |  0.0000E+00 |  0.2204E+00 | 
-----------   -----------   -----------   -----------
-0.4349E+04 |  0.1985E+00 |  0.0000E+00 |  0.1985E+00 | 
-----------   -----------   -----------   -----------
-0.4340E+04 |  0.1848E+00 |  0.0000E+00 |  0.1848E+00 | 
-----------   -----------   -----------   -----------
-0.4331E+04 |  0.1769E+00 |  0.0000E+00 |  0.1769E+00 | 
-----------   -----------   -----------   -----------
-0.4322E+04 |  0.1738E+00 |  0.0000E+00 |  0.1738E+00 | 
-----------   -----------   -----------   -----------
-0.4313E+04 |  0.1750E+00 |  0.0000E+00 |  0.1750E+00 | 
-----------   -----------   -----------   -----------
-0.4304E+04 |  0.1806E+00 |  0.0000E+00 |  0.1806E+00 | 
-----------   -----------   -----------   -----------
-0.4295E+04 |  0.1916E+00 |  0.0000E+00 |  0.1916E+00 | 
-----------   -----------   -----------   -----------
-0.4286E+04 |  0.2095E+00 |  0.0000E+00 |  0.2095E+00 | 
-----------   -----------   -----------   -----------
-0.4277E+04 |  0.2374E+00 |  0.0000E+00 |  0.2374E+00 | 
-----------   -----------   -----------   -----------
-0.4268E+04 |  0.2821E+00 |  0.0000E+00 |  0.2821E+00 | 
-----------   -----------   -----------   -----------
-0.4259E+04 |  0.3582E+00 |  0.0000E+00 |  0.3582E+00 | 
-----------   -----------   -----------   -----------
-0.4250E+04 |  0.5077E+00 |  0.0000E+00 |  0.5077E+00 | 
-----------   -----------   -----------   -----------
-0.4241E+04 |  0.9100E+00 |  0.0000E+00 |  0.9100E+00 | 
-----------   -----------   -----------   -----------
-0.4232E+04 |  0.4975E+01 |  0.0000E+00 |  0.4975E+01 | 
-----------   -----------   -----------   -----------
-0.4223E+04 |  0.1425E+01 |  0.0000E+00 |  0.1425E+01 | 
-----------   -----------   -----------   -----------
-0.4214E+04 |  0.6300E+00 |  0.0000E+00 |  0.6300E+00 | 
-----------   -----------   -----------   -----------
-0.4205E+04 |  0.4109E+00 |  0.0000E+00 |  0.4109E+00 | 
-----------   -----------   -----------   -----------
-0.4196E+04 |  0.3105E+00 |  0.0000E+00 |  0.3105E+00 | 
-----------   -----------   -----------   -----------
-0.4187E+04 |  0.2546E+00 |  0.0000E+00 |  0.2546E+00 | 
-----------   -----------   -----------   -----------
-0.4178E+04 |  0.2204E+00 |  0.0000E+00 |  0.2204E+00 | 
-----------   -----------   -----------   -----------
-0.4169E+04 |  0.1985E+00 |  0.0000E+00 |  0.1985E+00 | 
-----------   -----------   -----------   -----------
-0.4160E+04 |  0.1848E+00 |  0.0000E+00 |  0.1848E+00 | 
-----------   -----------   -----------   -----------
-0.4151E+04 |  0.1769E+00 |  0.0000E+00 |  0.1769E+00 | 
-----------   -----------   -----------   -----------
-0.4142E+04 |  0.1738E+00 |  0.0000E+00 |  0.1738E+00 | 
-----------   -----------   -----------   -----------
-0.4133E+04 |  0.1750E+00 |  0.0000E+00 |  0.1750E+00 | 
-----------   -----------   -----------   -----------
-0.4124E+04 |  0.1806E+00 |  0.0000E+00 |  0.1806E+00 | 
-----------   -----------   -----------   -----------
-0.4115E+04 |  0.1916E+00 |  0.0000E+00 |  0.1916E+00 | 
-----------   -----------   -----------   -----------
-0.4106E+04 |  0.2095E+00 |  0.0000E+00 |  0.2095E+00 | 
-----------   -----------   -----------   -----------
-0.4097E+04 |  0.2374E+00 |  0.0000E+00 |  0.2374E+00 | 
-----------   -----------   -----------   -----------
-0.4088E+04 |  0.2821E+00 |  0.0000E+00 |  0.2821E+00 | 
-----------   -----------   -----------   -----------
-0.4079E+04 |  0.3582E+00 |  0.0000E+00 |  0.3582E+00 | 
-----------   -----------   -----------   -----------
-0.4070E+04 |  0.5077E+00 |  0.0000E+00 |  0.5077E+00 | 
-----------   -----------   -----------   -----------
-0.4061E+04 |  0.9101E+00 |  0.0000E+00 |  0.9101E+00 | 
-----------   -----------   -----------   -----------
-0.4052E+04 |  0.4976E+01 |  0.0000E+00 |  0.4976E+01 | 
-----------   -----------   -----------   -----------
-0.4043E+04 |  0.1425E+01 |  0.0000E+00 |  0.1425E+01 | 
-----------   -----------   -----------   -----------
-0.4034E+04 |  0.6300E+00 |  0.0000E+00 |  0.6300E+00 | 
-----------   -----------   -----------   -----------
-0.4025E+04 |  0.4109E+00 |  0.0000E+00 |  0.4109E+00 | 
-----------   -----------   -----------   -----------
-0.4016E+04 |  0.3105E+00 |  0.0000E+00 |  0.3105E+00 | 
-----------   -----------   -----------   -----------
-0.4007E+04 |  0.2546E+00 |  0.0000E+00 |  0.2546E+00 | 
-----------   -----------   -----------   -----------
-0.3998E+04 |  0.2204E+00 |  0.0000E+00 |  0.2204E+00 | 
-----------   -----------   -----------   -----------
-0.3989E+04 |  0.1985E+00 |  0.0000E+00 |  0.1985E+00 | 
-----------   -----------   -----------   -----------
-0.3980E+04 |  0.1848E+00 |  0.0000E+00 |  0.1848E+00 | 
-----------   -----------   -----------   -----------
-0.3971E+04 |  0.1769E+00 |  0.0000E+00 |  0.1769E+00 | 
-----------   -----------   -----------   -----------
-0.3962E+04 |  0.1738E+00 |  0.0000E+00 |  0.1738E+00 | 
-----------   -----------   -----------   -----------
-0.3953E+04 |  0.1750E+00 |  0.0000E+00 |  0.1750E+00 | 
-----------   -----------   -----------   -----------
-0.3944E+04 |  0.1806E+00 |  0.0000E+00 |  0.1806E+00 | 
-----------   -----------   -----------   -----------
-0.3935E+04 |  0.1916E+00 |  0.0000E+00 |  0.1916E+00 | 
-----------   -----------   -----------   -----------
-0.3926E+04 |  0.2095E+00 |  0.0000E+00 |  0.2095E+00 | 
-----------   -----------   -----------   -----------
-0.3917E+04 |  0.2374E+00 |  0.0000E+00 |  0.2374E+00 | 
-----------   -----------   -----------   -----------
-0.3908E+04 |  0.2821E+00 |  0.0000E+00 |  0.2821E+00 | 
-----------   -----------   -----------   -----------
-0.3899E+04 |  0.3582E+00 |  0.0000E+00 |  0.3582E+00 | 
-----------   -----------   -----------   -----------
-0.3890E+04 |  0.5077E+00 |  0.0000E+00 |  0.5077E+00 | 
-----------   -----------   -----------   -----------
-0.3881E+04 |  0.9101E+00 |  0.0000E+00 |  0.9101E+00 | 
-----------   -----------   -----------   -----------
-0.3872E+04 |  0.4976E+01 |  0.0000E+00 |  0.4976E+01 | 
-----------   -----------   -----------   -----------
-0.3863E+04 |  0.1425E+01 |  0.0000E+00 |  0.1425E+01 | 
-----------   -----------   -----------   -----------
-0.3854E+04 |  0.6300E+00 |  0.0000E+00 |  0.6300E+00 | 
-----------   -----------   -----------   -----------
-0.3845E+04 |  0.4109E+00 |  0.0000E+00 |  0.4109E+00 | 
-----------   -----------   -----------   -----------
-0.3836E+04 |  0.3105E+00 |  0.0000E+00 |  0.3105E+00 | 
-----------   -----------   -----------   -----------
-0.3827E+04 |  0.2546E+00 |  0.0000E+00 |  0.2546E+00 | 
-----------   -----------   -----------   -----------
-0.3818E+04 |  0.2204E+00 |  0.0000E+00 |  0.2204E+00 | 
-----------   -----------   -----------   -----------
-0.3809E+04 |  0.1985E+00 |  0.0000E+00 |  0.1985E+00 | 
-----------   -----------   -----------   -----------
-0.3800E+04 |  0.1848E+00 |  0.0000E+00 |  0.1848E+00 | 
-----------   -----------   -----------   -----------
-0.3791E+04 |  0.1769E+00 |  0.0000E+00 |  0.1769E+00 | 
-----------   -----------   -----------   -----------
-0.3782E+04 |  0.1738E+00 |  0.0000E+00 |  0.1738E+00 | 
-----------   -----------   -----------   -----------
-0.3773E+04 |  0.1750E+00 |  0.0000E+00 |  0.1750E+00 | 
-----------   -----------   -----------   -----------
-0.3764E+04 |  0.1806E+00 |  0.0000E+00 |  0.1806E+00 | 
-----------   -----------   -----------   -----------
-0.3755E+04 |  0.1916E+00 |  0.0000E+00 |  0.1916E+00 | 
-----------   -----------   -----------   -----------
-0.3746E+04 |  0.2095E+00 |  0.0000E+00 |  0.2095E+00 | 
-----------   -----------   -----------   -----------
-0.3737E+04 |  0.2374E+00 |  0.0000E+00 |  0.2374E+00 | 
-----------   -----------   -----------   -----------
-0.3728E+04 |  0.2820E+00 |  0.0000E+00 |  0.2820E+00 | 
-----------   -----------   -----------   -----------
-0.3719E+04 |  0.3582E+00 |  0.0000E+00 |  0.3582E+00 | 
-----------   -----------   -----------   -----------
-0.3710E+04 |  0.5077E+00 |  0.0000E+00 |  0.5077E+00 | 
-----------   -----------   -----------   -----------
-0.3701E+04 |  0.9101E+00 |  0.0000E+00 |  0.9101E+00 | 
-----------   -----------   -----------   -----------
-0.3692E+04 |  0.4976E+01 |  0.0000E+00 |  0.4976E+01 | 
-----------   -----------   -----------   -----------
-0.3683E+04 |  0.1425E+01 |  0.0000E+00 |  0.1425E+01 | 
-----------   -----------   -----------   -----------
-0.3674E+04 |  0.6300E+00 |  0.0000E+00 |  0.6300E+00 | 
-----------   -----------   -----------   -----------
-0.3665E+04 |  0.4109E+00 |  0.0000E+00 |  0.4109E+00 | 
-----------   -----------   -----------   -----------
-0.3656E+04 |  0.3105E+00 |  0.0000E+00 |  0.3105E+00 | 
-----------   -----------   -----------   -----------
-0.3647E+04 |  0.2546E+00 |  0.0000E+00 |  0.2546E+00 | 
-----------   -----------   -----------   -----------
-0.3638E+04 |  0.2204E+00 |  0.0000E+00 |  0.2204E+00 | 
-----------   -----------   -----------   -----------
-0.3629E+04 |  0.1985E+00 |  0.0000E+00 |  0.1985E+00 | 
-----------   -----------   -----------   -----------
-0.3620E+04 |  0.1848E+00 |  0.0000E+00 |  0.1848E+00 | 
-----------   -----------   -----------   -----------
-0.3611E+04 |  0.1769E+00 |  0.0000E+00 |  0.1769E+00 | 
-----------   -----------   -----------   -----------
-0.3602E+04 |  0.1738E+00 |  0.0000E+00 |  0.1738E+00 | 
-----------   -----------   -----------   -----------
-0.3593E+04 |  0.1750E+00 |  0.0000E+00 |  0.1750E+00 | 
-----------   -----------   -----------   -----------
-0.3584E+04 |  0.1806E+00 |  0.0000E+00 |  0.1806E+00 | 
-----------   -----------   -----------   -----------
-0.3575E+04 |  0.1916E+00 |  0.0000E+00 |  0.1916E+00 | 
-----------   -----------   -----------   -----------
-0.3566E+04 |  0.2095E+00 |  0.0000E+00 |  0.2095E+00 | 
-----------   -----------   -----------   -----------
-0.3557E+04 |  0.2374E+00 |  0.0000E+00 |  0.2374E+00 | 
-----------   -----------   -----------   -----------
-0.3548E+04 |  0.2821E+00 |  0.0000E+00 |  0.2821E+00 | 
-----------   -----------   -----------   -----------
-0.3539E+04 |  0.3582E+00 |  0.0000E+00 |  0.3582E+00 | 
-----------   -----------   -----------   -----------
-0.3530E+04 |  0.5077E+00 |  0.0000E+00 |  0.5077E+00 | 
-----------   -----------   -----------   -----------
-0.3521E+04 |  0.9101E+00 |  0.0000E+00 |  0.9101E+00 | 
-----------   -----------   -----------   -----------
-0.3512E+04 |  0.4976E+01 |  0.0000E+00 |  0.4976E+01 | 
-----------   -----------   -----------   -----------
-0.3503E+04 |  0.1425E+01 |  0.0000E+00 |  0.1425E+01 | 
-----------   -----------   -----------   -----------
-0.3494E+04 |  0.6300E+00 |  0.0000E+00 |  0.6300E+00 | 
-----------   -----------   -----------   -----------
-0.3485E+04 |  0.4109E+00 |  0.0000E+00 |  0.4109E+00 | 
-----------   -----------   -----------   -----------
-0.3476E+04 |  0.3105E+00 |  0.0000E+00 |  0.3105E+00 | 
-----------   -----------   -----------   -----------
-0.3467E+04 |  0.2546E+00 |  0.0000E+00 |  0.2546E+00 | 
-----------   -----------   -----------   -----------
-0.3458E+04 |  0.2204E+00 |  0.0000E+00 |  0.2204E+00 | 
-----------   -----------   -----------   -----------
-0.3449E+04 |  0.1985E+00 |  0.0000E+00 |  0.1985E+00 | 
-----------   -----------   -----------   -----------
-0.3440E+04 |  0.1848E+00 |  0.0000E+00 |  0.1848E+00 | 
-----------   -----------   -----------   -----------
-0.3431E+04 |  0.1769E+00 |  0.0000E+00 |  0.1769E+00 | 
-----------   -----------   -----------   -----------
-0.3422E+04 |  0.1738E+00 |  0.0000E+00 |  0.1738E+00 | 
-----------   -----------   -----------   -----------
-0.3413E+04 |  0.1750E+00 |  0.0000E+00 |  0.1750E+00 | 
-----------   -----------   -----------   -----------
-0.3404E+04 |  0.1806E+00 |  0.0000E+00 |  0.1806E+00 | 
-----------   -----------   -----------   -----------
-0.3395E+04 |  0.1916E+00 |  0.0000E+00 |  0.1916E+00 | 
-----------   -----------   -----------   -----------
-0.3386E+04 |  0.2095E+00 |  0.0000E+00 |  0.2095E+00 | 
-----------   -----------   -----------   -----------
-0.3377E+04 |  0.2374E+00 |  0.0000E+00 |  0.2374E+00 | 
-----------   -----------   -----------   -----------
-0.3368E+04 |  0.2821E+00 |  0.0000E+00 |  0.2821E+00 | 
-----------   -----------   -----------   -----------
-0.3359E+04 |  0.3582E+00 |  0.0000E+00 |  0.3582E+00 | 
-----------   -----------   -----------   -----------
-0.3350E+04 |  0.5077E+00 |  0.0000E+00 |  0.5077E+00 | 
-----------   -----------   -----------   -----------
-0.3341E+04 |  0.9100E+00 |  0.0000E+00 |  0.9100E+00 | 
-----------   -----------   -----------   -----------
-0.3332E+04 |  0.4976E+01 |  0.0000E+00 |  0.4976E+01 | 
-----------   -----------   -----------   -----------
-0.3323E+04 |  0.1425E+01 |  0.0000E+00 |  0.1425E+01 | 
-----------   -----------   -----------   -----------
-0.3314E+04 |  0.6300E+00 |  0.0000E+00 |  0.6300E+00 | 
-----------   -----------   -----------   -----------
-0.3305E+04 |  0.4109E+00 |  0.0000E+00 |  0.4109E+00 | 
-----------   -----------   -----------   -----------
-0.3296E+04 |  0.3105E+00 |  0.0000E+00 |  0.3105E+00 | 
-----------   -----------   -----------   -----------
-0.3287E+04 |  0.2546E+00 |  0.0000E+00 |  0.2546E+00 | 
-----------   -----------   -----------   -----------
-0.3278E+04 |  0.2204E+00 |  0.0000E+00 |  0.2204E+00 | 
-----------   -----------   -----------   -----------
-0.3269E+04 |  0.1985E+00 |  0.0000E+00 |  0.1985E+00 | 
-----------   -----------   -----------   -----------
-0.3260E+04 |  0.1848E+00 |  0.0000E+00 |  0.1848E+00 | 
-----------   -----------   -----------   -----------
-0.3251E+04 |  0.1769E+00 |  0.0000E+00 |  0.1769E+00 | 
-----------   -----------   -----------   -----------
-0.3242E+04 |  0.1738E+00 |  0.0000E+00 |  0.1738E+00 | 
-----------   -----------   -----------   -----------
-0.3233E+04 |  0.1750E+00 |  0.0000E+00 |  0.1750E+00 | 
-----------   -----------   -----------   -----------
-0.3224E+04 |  0.1806E+00 |  0.0000E+00 |  0.1806E+00 | 
-----------   -----------   -----------   -----------
-0.3215E+04 |  0.1916E+00 |  0.0000E+00 |  0.1916E+00 | 
-----------   -----------   -----------   -----------
-0.3206E+04 |  0.2095E+00 |  0.0000E+00 |  0.2095E+00 | 
-----------   -----------   -----------   -----------
-0.3197E+04 |  0.2374E+00 |  0.0000E+00 |  0.2374E+00 | 
-----------   -----------   -----------   -----------
-0.3188E+04 |  0.2821E+00 |  0.0000E+00 |  0.2821E+00 | 
-----------   -----------   -----------   -----------
-0.3179E+04 |  0.3582E+00 |  0.0000E+00 |  0.3582E+00 | 
-----------   -----------   -----------   -----------
-0.3170E+04 |  0.5077E+00 |  0.0000E+00 |  0.5077E+00 | 
-----------   -----------   -----------   -----------
-0.3161E+04 |  0.9100E+00 |  0.0000E+00 |  0.9100E+00 | 
-----------   -----------   -----------   -----------
-0.3152E+04 |  0.4976E+01 |  0.0000E+00 |  0.4976E+01 | 
-----------   -----------   -----------   -----------
-0.3143E+04 |  0.1425E+01 |  0.0000E+00 |  0.1425E+01 | 
-----------   -----------   -----------   -----------
-0.3134E+04 |  0.6300E+00 |  0.0000E+00 |  0.6300E+00 | 
-----------   -----------   -----------   -----------
-0.3125E+04 |  0.4109E+00 |  0.0000E+00 |  0.4109E+00 | 
-----------   -----------   -----------   -----------
-0.3116E+04 |  0.3105E+00 |  0.0000E+00 |  0.3105E+00 | 
-----------   -----------   -----------   -----------
-0.3107E+04 |  0.2546E+00 |  0.0000E+00 |  0.2546E+00 | 
-----------   -----------   -----------   -----------
-0.3098E+04 |  0.2204E+00 |  0.0000E+00 |  0.2204E+00 | 
-----------   -----------   -----------   -----------
-0.3089E+04 |  0.1985E+00 |  0.0000E+00 |  0.1985E+00 | 
-----------   -----------   -----------   -----------
-0.3080E+04 |  0.1848E+00 |  0.0000E+00 |  0.1848E+00 | 
-----------   -----------   -----------   -----------
-0.3071E+04 |  0.1769E+00 |  0.0000E+00 |  0.1769E+00 | 
-----------   -----------   -----------   -----------
-0.3062E+04 |  0.1738E+00 |  0.0000E+00 |  0.1738E+00 | 
-----------   -----------   -----------   -----------
-0.3053E+04 |  0.1750E+00 |  0.0000E+00 |  0.1750E+00 | 
-----------   -----------   -----------   -----------
-0.3044E+04 |  0.1806E+00 |  0.0000E+00 |  0.1806E+00 | 
-----------   -----------   -----------   -----------
-0.3035E+04 |  0.1916E+00 |  0.0000E+00 |  0.1916E+00 | 
-----------   -----------   -----------   -----------
-0.3026E+04 |  0.2095E+00 |  0.0000E+00 |  0.2095E+00 | 
-----------   -----------   -----------   -----------
